name,location,Business ID,alias,title,rating,review_count,price,latitude,longitude
AVANI Avenida Liberdade Lisbon,"R. Júlio César Machado, 7-9 1250-135 Lisbon Portugal",JUoh6RTTV1gKKGZdfwfRsQ,hotels,Hotels,1.0,1,,38.720392,-9.147377
Hotel Lisboa Plaza,"Tv. do Salitre, 7 1269-066 Lisbon Portugal",w2NVajknvu8XXiGkD8gB1g,hotels,Hotels,4.1,7,€€,38.71886,-9.145466
Hotel Alif Avenidas,"Av. Duque de Ávila, 189 1050-082 Lisbon Portugal",A4Nvzuex1kZMytvjmiWVDg,hotels,Hotels,5.0,1,€€,38.73489,-9.1504602
SANA Malhoa Hotel,"Av. José Malhoa, 8 1099-089 Lisbon Portugal",iQ2V-XUFa6FjAGGEDEABBw,hotels,Hotels,3.5,4,€€€,38.7369717,-9.162401
Residencial Setubalense,"Rua Belém, 28 1300-084 Lisbon Portugal",zTXn6HH9lTcjyMB3d8Zp1g,hotels,Hotels,3.7,3,€,38.6973819,-9.2022959
The Pessoa,Largo do Carmo 1200-092 Lisbon Portugal,9He0PixiE3FKvASaGEwtRA,guesthouses,Guest Houses,1.0,1,,38.71173,-9.14099
Nazareth,"Av. António Augusto de Aguiar, 25 1050-012 Lisbon Portugal",V-D1iSWHMvZiBAamt5DasQ,hotels,Hotels,4.0,1,€€,38.7315903,-9.1518602
Real Palácio Hotel,"R. Tomás Ribeiro, 115 1050-228 Lisbon Portugal",2wk5LXoh_gwkGSKg_3YvlQ,hotels,Hotels,2.5,15,€€€,38.732208,-9.150777
Casual Belle Époque Lisboa,"R. da Madalena, 125 1100-319 Lisbon Portugal",kPWKh6dUSQKm-zZFl5PLUQ,hotels,Hotels,3.0,2,,38.711001,-9.1356701
Hotel Roma,"Av. de Roma, 33 1749-074 Lisbon Portugal",c5LnoWfP37u9gxCWSGXgGA,hotels,Hotels,3.4,13,€€,38.74574,-9.14026
Lisbon City Hotel,"Av. Almirante Reis, 49 1150-010 Lisbon Portugal",Aeu0o-3KNSmx9kzI2fWbWA,hotels,Hotels,3.3,6,,38.7247464,-9.135263
Vip Inn Berna,"Av. António de Serpa,13 1069-199 Lisbon Portugal",NA45h6CMod6216LCrYxdxw,hotels,Hotels,3.0,6,,38.7429695,-9.1481895
Eurostars Lisboa Parque,"Largo Andaluz, 13 1050-121 Lisbon Portugal",nLJ70k-y4dpWmRetVa-KeQ,hotels,Hotels,4.0,2,,38.728213,-9.14771
Vip Grand Lisboa Hotel & Spa,"Av. 5 de Outubro, 197 1050-054 Lisbon Portugal",9e52Aom0CwOw0zMA-CcUrg,hotels,Hotels,3.3,11,€€€,38.7422409,-9.14925
Vila Galé Opera Hotel,Travessa conde da Ponte 1300-141 Lisbon Portugal,zHUB3DooQANtfVz6_cuF9w,hotels,Hotels,4.2,6,€€€,38.7002546,-9.1807855
Raw Culture Lofts Bairro Alto,"R. das Gáveas, 103 Alto 1200-206 Lisbon Portugal",bSR868URbwvXnE6VO9VCrQ,hotels,Hotels,5.0,1,,38.712853,-9.143535
Hotel Convento do Salvador,"R. do Salvador, 2B Alfama 1100-465 Lisbon Portugal",JBx1reb1QcEkewjZrwlOQQ,hotels,Hotels,4.7,3,,38.712768,-9.130029
Vip Executive Marquês Aparthotel,"Av. Duque de Loulé, 45 1050-086 Lisbon Portugal",4XyDrTo8ozcdAFtPv38E_g,vacation_rentals,Vacation Rentals,1.0,1,,38.72801,-9.14502
Verride Palácio Santa Catarina,"R. de Santa Catarina, 1 1200-401 Lisbon Portugal",p-gr_PeSlDbQGzYzbhohcQ,hotels,Hotels,5.0,2,,38.7096918485244,-9.14739568161463
